Capacity,LP model,Conservative heuristic,Heuristic 1-days-ahead risk,Heuristic 7-days-ahead risk,Heuristic 14-days-ahead risk,Heuristic 21-days-ahead risk,LP model stocks,Conservative heuristic stocks,Heuristic q-1 risk stocks,Heuristic q-7 risk stocks,Heuristic q-14 risk stocks,Heuristic q-21 risk stocks,Heuristic 1-days-ahead negative on arrival,Heuristic 7-days-ahead negative on arrival,Heuristic 14-days-ahead negative on arrival,Heuristic 21-days-ahead negative on arrival,Heuristic 1-days-ahead negative days,Heuristic 7-days-ahead negative days,Heuristic 14-days-ahead negative days,Heuristic 21-days-ahead negative days,LP model utilization,Heuristic utilization,Heuristic 1-days-ahead utilization,Heuristic 7-days-ahead utilization,Heuristic 14-days-ahead utilization,Heuristic 21-days-ahead utilization,Heuristic 1-days-ahead min negative,Heuristic 7-days-ahead min negative,Heuristic 14-days-ahead min negative,Heuristic 21-days-ahead min negative
1 c,123.1,178.4,175.74,178.35,184.54,190.57,0,0,0,0,0,0,0.41727,0.31086,0.20652,0.16536,0.2384,0.182,0.1194,0.0926,0.46469,0.39953,0.40269,0.39861,0.3885,0.37911,-55505068.880000025,-55505068.880000025,-55505068.880000025,-53965034.12000003
1.5 c,117.35,142.21,135.84,141.89,151.54,159.22,0,0,0,0,0,0,2.37164,1.67535,1.14486,0.96304,0.8235,0.591,0.3879,0.2993,0.49127,0.45185,0.45762,0.44933,0.43497,0.42385,-118115259.2200002,-109645528.06000018,-109645528.06000018,-109645528.06000018
2.0 c,116.58,135.0,125.89,134.06,143.79,151.82,0,0,0,0,0,0,3.77629,2.54059,1.73564,1.47259,1.0817,0.7715,0.5172,0.3993,0.49391,0.46204,0.47038,0.45916,0.44509,0.43326,-131596072.44,-120020344.00000001,-120009453.00000001,-120009453.00000001
2.5 c,116.29,132.67,122.23,131.21,140.74,148.94,0,0,0,0,0,0,4.47882,2.98025,2.06571,1.74819,1.1808,0.8477,0.5857,0.4496,0.49477,0.4654,0.47496,0.46256,0.44875,0.43674,-132773728.17999992,-128513567.49999987,-128513567.49999987,-128513567.49999987
3.0 c,116.18,131.64,120.52,129.7,138.93,147.49,0,0,0,0,0,0,4.83735,3.22185,2.2585,1.90078,1.2172,0.8789,0.6153,0.4722,0.49505,0.46684,0.47707,0.46439,0.45106,0.43843,-134576586.0,-134571817.0,-134571817.0,-134571817.0
3.5 c,116.11,131.14,119.56,128.7,137.81,145.98,0,0,0,0,0,0,5.04769,3.37858,2.38384,1.99949,1.2483,0.9072,0.6433,0.4965,0.49521,0.4675,0.47821,0.46567,0.45247,0.44046,-139986579.9999999,-139981810.9999999,-139981810.9999999,-139981810.9999999
4.0 c,116.07,130.87,119.07,128.15,137.17,144.81,0,0,0,0,0,0,5.15797,3.46756,2.46523,2.07163,1.263,0.9225,0.6585,0.5107,0.49529,0.46787,0.47876,0.46633,0.45323,0.44198,-139986580.0,-139981811.0,-139981811.0,-139981811.0
4.5 c,116.04,130.72,118.73,127.77,136.64,144.32,0,0,0,0,0,0,5.23301,3.53076,2.52414,2.11956,1.2684,0.9284,0.6665,0.5147,0.49533,0.46807,0.47916,0.46677,0.45393,0.44253,-139986579.99999994,-139981810.99999994,-139981810.99999994,-139981810.99999994
5.0 c,116.03,130.64,118.45,127.5,136.23,143.93,0,0,0,0,0,0,5.29169,3.57962,2.57288,2.15689,1.2717,0.9337,0.6696,0.5178,0.49534,0.46816,0.4795,0.46707,0.45445,0.44303,-139986580.0,-139981811.0,-139981811.0,-139981811.0
5.5 c,116.03,130.6,118.22,127.28,135.89,143.61,0,0,0,0,0,0,5.34044,3.62224,2.61632,2.19109,1.273,0.9351,0.6718,0.5199,0.49535,0.46821,0.47976,0.46731,0.4549,0.44341,-139986580.0,-139981811.0,-139981811.0,-139981811.0
6.0 c,116.02,130.57,118.02,127.09,135.61,143.32,0,0,0,0,0,0,5.38466,3.66274,2.65651,2.22301,1.2769,0.9396,0.6769,0.5213,0.49535,0.46826,0.47999,0.4675,0.45521,0.44375,-139986580.0,-139981811.0,-139981811.0,-139981811.0
6.5 c,116.02,130.56,117.88,126.93,135.41,143.1,0,0,0,0,0,0,5.41765,3.69399,2.68646,2.24769,1.2818,0.9518,0.6858,0.5291,0.49535,0.46828,0.48013,0.46766,0.45544,0.44402,-139986580.0,-139981811.0,-139981811.0,-139981811.0
7.0 c,116.02,130.55,117.8,126.84,135.29,142.94,0,0,0,0,0,0,5.43662,3.71218,2.70393,2.262,1.2865,0.9607,0.6948,0.535,0.49535,0.46829,0.4802,0.46775,0.45558,0.44423,-140015365.0,-139981811.0,-139981811.0,-139981811.0
7.5 c,116.02,130.55,117.77,126.8,135.22,142.91,0,0,0,0,0,0,5.44481,3.7206,2.71193,2.26906,1.2905,0.9673,0.7012,0.5401,0.49535,0.46829,0.48022,0.46779,0.45566,0.44421,-140015365.0,-139981811.0,-139981811.0,-139981811.0
