Capacity,LP model,Conservative heuristic,Heuristic 1-days-ahead risk,Heuristic 7-days-ahead risk,Heuristic 14-days-ahead risk,Heuristic 21-days-ahead risk,LP model stocks,Conservative heuristic stocks,Heuristic q-1 risk stocks,Heuristic q-7 risk stocks,Heuristic q-14 risk stocks,Heuristic q-21 risk stocks,Heuristic 1-days-ahead negative on arrival,Heuristic 7-days-ahead negative on arrival,Heuristic 14-days-ahead negative on arrival,Heuristic 21-days-ahead negative on arrival,Heuristic 1-days-ahead negative days,Heuristic 7-days-ahead negative days,Heuristic 14-days-ahead negative days,Heuristic 21-days-ahead negative days,LP model utilization,Heuristic utilization,Heuristic 1-days-ahead utilization,Heuristic 7-days-ahead utilization,Heuristic 14-days-ahead utilization,Heuristic 21-days-ahead utilization,Heuristic 1-days-ahead max negative stocks,Heuristic 7-days-ahead max negative stocks,Heuristic 14-days-ahead max negative stocks,Heuristic 21-days-ahead max negative stocks
1 c,123.07,178.25,174.61,177.91,183.78,189.67,0,0,0,0,0,0,0.41535,0.30569,0.20726,0.16789,0.0882,0.0685,0.0463,0.0388,0.46433,0.39891,0.40328,0.39818,0.38865,0.37958,-37141690.19999995,-37141690.19999995,-34572106.099999964,-29107221.579999976
1.5 c,117.91,146.53,137.58,144.3,153.95,160.21,0,0,0,0,0,0,2.44758,1.7857,1.21305,1.01073,0.2878,0.2146,0.1412,0.1134,0.49185,0.44344,0.4534,0.44397,0.42939,0.4206,-98899970.63999988,-88851865.6999999,-81170125.23999994,-66625039.03999995
2.0 c,117.15,141.68,130.37,138.57,148.0,153.54,0,0,0,0,0,0,3.6215,2.55768,1.76994,1.51087,0.3579,0.2664,0.1735,0.1422,0.49381,0.44972,0.46187,0.45009,0.43618,0.42905,-101871972.51999994,-89992514.99999999,-84836328.39999999,-75989143.51999997
2.5 c,116.9,140.09,127.77,135.85,144.75,150.89,0,0,0,0,0,0,4.19112,2.95416,2.14935,1.81485,0.3876,0.2854,0.1968,0.1566,0.49476,0.45167,0.4646,0.45348,0.4401,0.4324,-104841885.39999995,-94534733.19999996,-86278954.89999999,-77492478.31999996
3.0 c,116.81,138.95,126.91,134.29,142.79,149.83,0,0,0,0,0,0,4.48084,3.17631,2.32007,1.95842,0.3932,0.2926,0.2024,0.1604,0.49499,0.45335,0.46521,0.45558,0.44284,0.4335,-107811798.27999997,-97808915.27999997,-85536476.68,-78995813.78
3.5 c,116.75,138.23,126.06,133.63,141.25,148.64,0,0,0,0,0,0,4.63686,3.27334,2.42644,2.03799,0.4066,0.3055,0.2146,0.1729,0.49499,0.45446,0.46635,0.45622,0.44521,0.43501,-110781711.16000003,-100390102.08000001,-85186222.53999999,-80913839.16
4.0 c,116.7,137.83,125.37,133.34,141.13,147.71,0,0,0,0,0,0,4.7486,3.32875,2.4702,2.07369,0.4105,0.3054,0.219,0.1731,0.49499,0.45507,0.46741,0.45645,0.44506,0.43613,-113751624.04000002,-101875058.52,-85928700.75999999,-82472191.56
4.5 c,116.67,137.62,124.88,133.12,140.97,147.48,0,0,0,0,0,0,4.83669,3.3707,2.50019,2.1049,0.4116,0.3069,0.2204,0.1745,0.49499,0.45541,0.4681,0.45664,0.44509,0.43628,-113313609.02,-103314996.02000001,-86671178.98,-84030543.3
5.0 c,116.67,137.48,124.67,132.95,140.59,147.25,0,0,0,0,0,0,4.90234,3.41976,2.52439,2.13068,0.4123,0.3081,0.2209,0.1753,0.49499,0.45563,0.46825,0.45678,0.4456,0.43658,-112571130.8,-102572517.8,-87413657.2,-85588895.7
5.5 c,116.66,137.41,124.43,132.73,140.2,146.99,0,0,0,0,0,0,4.95645,3.48456,2.54513,2.161,0.4143,0.3082,0.218,0.1768,0.49499,0.45575,0.46848,0.45701,0.44618,0.43688,-111828652.58,-101830039.58,-88156135.42,-87147247.44
6.0 c,116.66,137.35,124.18,132.65,139.81,147.02,0,0,0,0,0,0,5.00519,3.54543,2.57528,2.18768,0.4144,0.3085,0.219,0.178,0.49499,0.45586,0.46878,0.45692,0.44673,0.43658,-111086174.36,-101087561.36,-88898613.64,-88705599.84
6.5 c,116.66,137.31,124.02,132.6,139.46,146.72,0,0,0,0,0,0,5.04288,3.59535,2.61015,2.20945,0.4154,0.3146,0.2207,0.1786,0.49499,0.45594,0.46893,0.45683,0.44725,0.43703,-110343696.14,-100345083.14,-90005165.0,-90005165.0
7.0 c,116.66,137.29,123.93,132.43,139.17,146.44,0,0,0,0,0,0,5.06288,3.63708,2.63506,2.2143,0.4181,0.3184,0.2253,0.1808,0.49499,0.45599,0.46903,0.45704,0.44772,0.43758,-109997300.0,-100386647.08,-90005165.0,-90005165.0
7.5 c,116.66,137.28,123.91,132.33,139.12,146.26,0,0,0,0,0,0,5.06898,3.66018,2.64331,2.22176,0.419,0.3184,0.2263,0.1821,0.49499,0.45599,0.46905,0.4572,0.44779,0.43791,-109997300.0,-101129125.3,-90005165.0,-90005165.0
